Size np Time Threads
5000 3 14.856960 1
5000 3 14.731129 1
5000 3 14.707111 1
5000 3 14.736552 1
5000 3 14.708313 1
5000 3 7.916962 2
5000 3 7.922627 2
5000 3 7.858191 2
5000 3 7.912262 2
5000 3 7.853995 2
5000 3 5.510040 3
5000 3 5.559773 3
5000 3 5.549729 3
5000 3 5.528490 3
5000 3 5.512059 3
5000 3 4.377331 4
5000 3 4.394573 4
5000 3 4.429753 4
5000 3 4.391662 4
5000 3 4.380725 4
5000 3 3.675954 5
5000 3 3.679447 5
5000 3 3.676796 5
5000 3 3.684175 5
5000 3 3.675425 5
5000 3 3.224989 6
5000 3 3.224636 6
5000 3 3.220909 6
5000 3 3.205109 6
5000 3 3.217696 6
5000 3 2.890569 7
5000 3 2.879186 7
5000 3 2.885798 7
5000 3 2.891554 7
5000 3 2.883145 7
5000 3 2.616070 8
5000 3 2.624889 8
5000 3 2.629297 8
5000 3 2.639285 8
5000 3 2.632506 8
5000 3 2.417430 9
5000 3 2.425204 9
5000 3 2.396894 9
5000 3 2.409203 9
5000 3 2.416718 9
5000 3 2.238273 10
5000 3 2.257702 10
5000 3 2.263231 10
5000 3 2.267245 10
5000 3 2.254363 10
5000 3 2.139101 11
5000 3 2.117049 11
5000 3 2.125507 11
5000 3 2.130346 11
5000 3 2.139717 11
5000 3 2.030854 12
5000 3 1.997951 12
5000 3 2.010082 12
5000 3 2.022676 12
5000 3 2.017226 12
