Size np Time Threads
5000 1 43.976998 1
5000 1 43.970882 1
5000 1 43.981512 1
5000 1 43.975621 1
5000 1 43.980858 1
5000 1 23.195417 2
5000 1 23.233264 2
5000 1 23.139850 2
5000 1 23.216999 2
5000 1 23.262212 2
5000 1 16.258313 3
5000 1 16.272735 3
5000 1 16.259713 3
5000 1 16.322272 3
5000 1 16.266675 3
5000 1 12.774914 4
5000 1 12.752070 4
5000 1 12.708994 4
5000 1 12.713901 4
5000 1 12.757662 4
5000 1 10.661979 5
5000 1 10.709674 5
5000 1 10.681574 5
5000 1 10.668183 5
5000 1 10.705777 5
5000 1 9.350722 6
5000 1 9.374590 6
5000 1 9.333595 6
5000 1 9.334080 6
5000 1 9.336090 6
5000 1 8.277113 7
5000 1 8.308668 7
5000 1 8.316609 7
5000 1 8.268668 7
5000 1 8.322467 7
5000 1 7.518117 8
5000 1 7.479458 8
5000 1 7.567159 8
5000 1 7.484322 8
5000 1 7.531445 8
5000 1 6.999510 9
5000 1 6.925293 9
5000 1 6.993998 9
5000 1 6.994694 9
5000 1 6.977448 9
5000 1 6.516927 10
5000 1 6.525294 10
5000 1 6.541031 10
5000 1 6.521180 10
5000 1 6.516754 10
5000 1 6.123509 11
5000 1 6.161910 11
5000 1 6.105200 11
5000 1 6.106599 11
5000 1 6.163636 11
5000 1 5.822135 12
5000 1 5.802065 12
5000 1 5.800331 12
5000 1 5.795693 12
5000 1 5.785286 12
