Size np Time Threads
5000 5 9.016475 1
5000 5 8.967074 1
5000 5 8.920685 1
5000 5 8.925020 1
5000 5 8.976661 1
5000 5 4.836823 2
5000 5 4.846864 2
5000 5 4.842974 2
5000 5 4.833875 2
5000 5 4.847018 2
5000 5 3.404964 3
5000 5 3.425917 3
5000 5 3.423460 3
5000 5 3.427352 3
5000 5 3.428880 3
5000 5 2.716094 4
5000 5 2.721408 4
5000 5 2.720293 4
5000 5 2.725839 4
5000 5 2.724502 4
5000 5 2.307239 5
5000 5 2.301990 5
5000 5 2.277177 5
5000 5 2.276914 5
5000 5 2.285596 5
5000 5 2.019012 6
5000 5 2.031108 6
5000 5 2.019487 6
5000 5 2.040380 6
5000 5 2.018388 6
5000 5 1.825780 7
5000 5 1.807064 7
5000 5 1.811704 7
5000 5 1.807484 7
5000 5 1.798523 7
5000 5 1.641978 8
5000 5 1.646064 8
5000 5 1.633136 8
5000 5 1.643777 8
5000 5 1.630913 8
5000 5 1.515676 9
5000 5 1.508812 9
5000 5 1.525651 9
5000 5 1.508312 9
5000 5 1.503572 9
5000 5 1.418816 10
5000 5 1.407481 10
5000 5 1.418116 10
5000 5 1.410192 10
5000 5 1.411866 10
5000 5 1.329228 11
5000 5 1.323420 11
5000 5 1.330036 11
5000 5 1.334154 11
5000 5 1.329410 11
5000 5 1.270247 12
5000 5 1.273996 12
5000 5 1.252341 12
5000 5 1.271194 12
5000 5 1.271908 12
