cores,exTime,gflops
82,2.599453,,769.392649
83,2.644940,,756.160686
83,2.681726,,745.788452
83,2.594243,,770.937937
84,2.700791,,740.523782
84,2.588064,,772.778397
84,2.729589,,732.711073
85,2.809647,,711.833285
85,2.538263,,787.940470
85,2.879522,,694.559751
86,2.666426,,750.067705
86,2.756494,,725.559347
86,2.829103,,706.937892
87,2.427030,,824.052340
87,2.709499,,738.143867
87,2.884826,,693.282752
88,2.774954,,720.732657
88,2.739482,,730.065060
88,2.772477,,721.376712
89,2.816404,,710.125515
89,2.824724,,708.033703
89,2.852858,,701.051400
90,2.797228,,714.993500
90,2.776506,,720.329822
90,2.813563,,710.842411
91,2.885998,,693.001080
91,2.866945,,697.606798
91,2.800058,,714.270970
92,2.877697,,695.000266
92,2.853376,,700.924133
92,2.845418,,702.884343
93,2.584473,,773.852189
93,2.866344,,697.753072
93,2.900381,,689.564635
94,2.851509,,701.383114
94,2.827681,,707.293447
94,2.853119,,700.987355
95,2.867013,,697.590134
95,2.831702,,706.288991
95,2.821255,,708.904460
96,2.835497,,705.343681
96,2.856760,,700.093866
96,2.836033,,705.210450
97,2.857553,,699.899457
97,2.888915,,692.301464
97,2.860719,,699.125019
98,2.882989,,693.724398
98,2.877433,,695.064084
98,2.939183,,680.461151
99,2.883091,,693.699825
99,2.888844,,692.318363
99,2.890607,,691.896270
100,2.931506,,682.243241
100,2.911709,,686.881726
100,2.941303,,679.970833
101,2.897500,,690.250326
101,2.971841,,672.983623
101,2.920821,,684.739043
102,2.886357,,692.914900
102,2.939405,,680.409924
102,2.971140,,673.142342
103,2.962245,,675.163662
103,2.951502,,677.621102
103,2.993471,,668.120703
104,2.965417,,674.441467
104,2.954484,,676.937111
104,2.950690,,677.807523
105,3.015507,,663.238290
105,3.010378,,664.368317
105,3.037634,,658.407230
106,3.013878,,663.596810
106,3.032384,,659.547140
106,2.700222,,740.679815
107,2.563144,,780.291573
107,2.466441,,810.884944
107,3.085692,,648.152925
108,2.616889,,764.266368
108,3.069985,,651.469016
108,3.074972,,650.412453
109,3.150111,,634.898304
109,3.118681,,641.296730
109,3.127645,,639.458685
110,3.108901,,643.314222
110,3.092026,,646.825097
110,3.133716,,638.219883
111,3.021156,,661.998261
111,3.064208,,652.697178
111,3.079540,,649.447700
112,3.095819,,646.032692
112,3.054204,,654.835130
112,3.082738,,648.773820
113,3.138446,,637.258016
113,3.120192,,640.986140
113,3.143130,,636.308428
114,3.122965,,640.416956
114,3.113325,,642.400070
114,3.140402,,636.861230
115,3.115669,,641.916740
