cores,exTime,gflops
82,2.005014,,997.499086
83,1.946955,,1027.244863
83,1.966698,,1016.933008
83,1.976784,,1011.744369
84,2.501861,,799.404851
84,2.501397,,799.553314
84,2.483378,,805.354559
85,2.169967,,921.672795
85,2.179128,,917.798488
85,2.166037,,923.345346
86,1.963674,,1018.498745
86,1.976665,,1011.805065
86,1.980150,,1010.024488
87,2.162549,,924.834371
87,2.164981,,923.795669
87,2.164123,,924.161858
88,2.325910,,859.878369
88,2.333300,,857.155089
88,2.330991,,858.004069
89,2.335714,,856.269054
89,2.325213,,860.136134
89,2.320051,,862.050053
90,2.250035,,888.875097
90,2.239779,,892.945248
90,2.248768,,889.375675
91,2.297242,,870.609094
91,2.295259,,871.361183
91,2.285536,,875.068336
92,3.108539,,643.389103
92,3.133941,,638.174133
92,3.132597,,638.447949
93,2.141046,,934.123017
93,2.152365,,929.210508
93,2.139415,,934.835198
94,1.989996,,1005.027044
94,1.992081,,1003.975426
94,1.974292,,1013.021240
95,2.213190,,903.673097
95,2.211802,,904.239884
95,2.206736,,906.316019
96,2.369115,,844.196979
96,2.369565,,844.036604
96,2.365204,,845.593030
97,2.364691,,845.776572
97,2.368077,,844.567292
97,2.365796,,845.381462
98,2.696843,,741.607758
98,2.676023,,747.377657
98,2.692977,,742.672473
99,3.690140,,541.984814
99,3.648622,,548.152086
99,3.227094,,619.752629
100,2.490418,,803.077952
100,2.486918,,804.208286
100,2.480103,,806.418081
101,2.484852,,804.876842
101,2.480088,,806.423131
101,2.476279,,807.663397
102,2.911694,,686.885356
102,2.918002,,685.400475
102,2.929438,,682.724902
103,2.912425,,686.713017
103,2.915414,,686.008997
103,2.903073,,688.925085
104,2.387108,,837.833972
104,2.381797,,839.702250
104,2.392415,,835.975491
105,3.168087,,631.295699
105,3.212208,,622.624689
105,3.182646,,628.407942
106,2.072221,,965.147942
106,2.003138,,998.433636
106,1.990171,,1004.938673
107,2.064541,,968.738145
107,2.007019,,996.502630
107,1.998621,,1000.689858
108,2.460281,,812.915381
108,2.483361,,805.360068
108,2.449072,,816.635707
109,2.451906,,815.692092
109,2.461970,,812.357702
109,2.460922,,812.703537
110,2.573836,,777.050197
110,2.582062,,774.574820
110,2.584900,,773.724458
111,2.216756,,902.219371
111,2.208818,,905.461580
111,2.210900,,904.609118
112,2.793459,,715.958245
112,2.816425,,710.119982
112,2.764575,,723.438594
113,2.803939,,713.282333
113,2.773205,,721.187344
113,2.758445,,725.046185
114,3.200400,,624.921875
114,3.224800,,620.193430
114,3.202485,,624.515037
115,2.250103,,888.848371
115,2.251665,,888.231557
115,2.242775,,891.752592
116,3.664239,,545.815892
116,3.840381,,520.781725
116,3.620593,,552.395675
117,4.341275,,460.694120
117,4.520322,,442.446404
117,4.381602,,456.454058
118,1.965609,,1017.496369
118,1.969696,,1015.385141
118,2.021732,,989.251035
119,2.354336,,849.496289
119,2.372233,,843.087549
119,2.365454,,845.503647
120,2.535370,,788.839596
120,2.643351,,756.615293
120,2.568377,,778.701856
121,2.671897,,748.531803
121,2.667144,,749.865691
121,2.633657,,759.400242
122,1.998260,,1000.870524
122,2.034030,,983.269549
122,1.999340,,1000.330042
123,2.223223,,899.594876
123,2.221659,,900.228013
123,2.128950,,939.430428
124,4.216623,,474.313162
124,4.208295,,475.251810
124,4.217095,,474.260174
