Size np Time Threads
10000 1 5.726842 12
10000 1 6.651962 12
10000 1 5.751802 12
10000 1 5.722086 12
10000 1 5.748596 12
10000 2 3.432755 12
10000 2 3.014407 12
10000 2 3.008747 12
10000 2 2.993911 12
10000 2 2.974066 12
10000 3 8.577249 12
10000 3 8.093973 12
10000 3 8.644629 12
10000 3 8.050198 12
10000 3 8.328205 12
10000 4 5.361751 12
10000 4 5.482161 12
10000 4 5.526597 12
10000 4 5.412284 12
10000 4 6.241693 12
10000 5 6.924558 12
10000 5 6.948239 12
10000 5 6.661833 12
10000 5 6.530155 12
10000 5 6.884791 12
10000 6 7.096041 12
10000 6 7.110152 12
10000 6 7.698038 12
10000 6 7.307516 12
10000 6 7.295146 12
