Size np Time Threads
5000 1 43.883610 1
5000 1 43.852755 1
5000 1 43.846200 1
5000 1 43.850872 1
5000 1 43.841176 1
5000 2 22.111203 1
5000 2 22.135607 1
5000 2 22.102460 1
5000 2 22.110800 1
5000 2 22.104035 1
5000 3 33.152454 1
5000 3 33.022740 1
5000 3 33.059781 1
5000 3 33.262356 1
5000 3 33.202816 1
5000 4 24.220299 1
5000 4 24.223388 1
5000 4 24.274136 1
5000 4 24.098758 1
5000 4 24.207039 1
5000 5 28.759078 1
5000 5 28.606347 1
5000 5 28.732264 1
5000 5 28.845906 1
5000 5 28.822555 1
5000 6 25.048252 1
5000 6 24.998687 1
5000 6 25.214157 1
5000 6 24.909407 1
5000 6 25.066781 1
