cores,exTime,gflops
82,5.261300,,47.516771
83,5.301555,,47.155972
83,5.278066,,47.365835
83,5.285439,,47.299761
84,5.273569,,47.406229
84,5.267811,,47.458039
84,5.282035,,47.330245
85,5.285479,,47.299406
85,5.277533,,47.370619
85,5.261050,,47.519034
86,5.241738,,47.694102
86,5.269621,,47.441746
86,5.278917,,47.358199
87,5.270205,,47.436482
87,5.268374,,47.452973
87,5.307155,,47.106220
88,5.274611,,47.396863
88,5.265358,,47.480154
88,5.268648,,47.450506
89,5.259376,,47.534159
89,5.268759,,47.449508
89,5.253958,,47.583177
90,5.284575,,47.307495
90,5.267531,,47.460568
90,5.254345,,47.579666
91,5.270670,,47.432300
91,5.268125,,47.455211
91,5.254941,,47.574275
92,5.265735,,47.476751
92,5.280350,,47.345348
92,5.258745,,47.539857
93,5.257407,,47.551959
93,5.279865,,47.349696
93,5.277560,,47.370376
94,5.290602,,47.253597
94,5.266029,,47.474104
94,5.264731,,47.485805
95,5.281506,,47.334981
95,5.287015,,47.285659
95,5.262428,,47.506590
96,5.265125,,47.482255
96,5.272032,,47.420046
96,5.266648,,47.468526
97,5.279667,,47.351476
97,5.264383,,47.488942
97,5.268633,,47.450638
98,5.283625,,47.315998
98,5.287898,,47.277762
98,5.259075,,47.536874
99,5.262942,,47.501948
99,5.278351,,47.363277
99,5.270391,,47.434808
100,5.280599,,47.343109
100,5.265794,,47.476219
100,5.283508,,47.317049
101,5.273004,,47.411308
101,5.289382,,47.264503
101,5.271987,,47.420455
102,5.257444,,47.551623
102,5.279247,,47.355235
102,5.266769,,47.467431
103,5.265720,,47.476890
103,5.277028,,47.375155
103,5.278202,,47.364612
104,5.267550,,47.460394
104,5.273243,,47.409155
104,5.275343,,47.390282
105,5.288180,,47.275241
105,5.287851,,47.278184
105,5.287905,,47.277706
106,5.294437,,47.219373
106,5.267664,,47.459368
106,5.270195,,47.436579
107,5.262794,,47.503288
107,5.276715,,47.377958
107,5.282820,,47.323208
108,5.270469,,47.434108
108,5.272834,,47.412831
108,5.268797,,47.449164
109,5.265683,,47.477224
109,5.281479,,47.335230
109,5.273513,,47.406732
110,5.283326,,47.318681
110,5.288649,,47.271051
110,5.270908,,47.430158
111,5.289726,,47.261426
111,5.303893,,47.135185
111,5.277243,,47.373220
112,5.285883,,47.295791
112,5.282910,,47.322407
112,5.284332,,47.309668
113,5.265621,,47.477777
113,5.275260,,47.391027
113,5.275864,,47.385604
114,5.280212,,47.346583
114,5.298870,,47.179872
114,5.269154,,47.445943
115,5.295586,,47.209126
115,5.287108,,47.284830
115,5.285917,,47.295482
116,5.293288,,47.229626
116,5.284701,,47.306367
116,5.271111,,47.428331
117,5.281977,,47.330764
117,5.276202,,47.382568
117,5.269154,,47.445943
118,5.279525,,47.352746
118,5.267762,,47.458486
118,5.280284,,47.345941
119,5.290907,,47.250877
119,5.269744,,47.440634
119,5.285277,,47.301207
120,5.290263,,47.256631
120,5.288164,,47.275390
120,5.297669,,47.190569
121,5.295259,,47.212040
121,5.276917,,47.376152
121,5.290787,,47.251947
122,5.283467,,47.317414
122,5.278397,,47.362861
122,5.283133,,47.320406
123,5.273858,,47.403629
123,5.295695,,47.208157
123,5.261039,,47.519128
124,5.285827,,47.296285
124,5.297013,,47.196409
124,5.279068,,47.356847
125,5.287871,,47.278009
125,5.291123,,47.248953
125,5.275985,,47.384516
126,5.313013,,47.054280
126,5.286957,,47.286183
126,5.266362,,47.471101
127,5.280365,,47.345216
127,5.287632,,47.280143
127,5.294288,,47.220703
128,5.322946,,46.966469
128,5.320026,,46.992253
128,5.282853,,47.322912
