cores,exTime,gflops
82,0.574892,,434.864065
83,0.506335,,493.744632
83,0.520030,,480.741315
83,0.484488,,516.008413
84,0.417802,,598.369997
84,0.407481,,613.525213
84,0.416096,,600.823434
85,0.521932,,478.989795
85,0.699221,,357.540701
85,0.539646,,463.266475
86,0.471987,,529.675291
86,0.430456,,580.779624
86,0.480377,,520.424687
87,0.510186,,490.017332
87,0.497723,,502.287509
87,0.469052,,532.990122
88,0.453368,,551.428353
88,0.426416,,586.282049
88,0.453230,,551.595924
89,0.518434,,482.221209
89,0.512589,,487.720197
89,0.453546,,551.211516
90,0.536226,,466.221003
90,0.541375,,461.787234
90,0.442039,,565.560611
91,0.573486,,435.930168
91,0.545043,,458.679201
91,0.561192,,445.480520
92,0.433708,,576.424493
92,0.437644,,571.241199
92,0.435408,,574.174697
93,0.505402,,494.655374
93,0.504644,,495.398689
93,0.454347,,550.240745
94,0.469415,,532.577439
94,0.491113,,509.047979
94,0.467314,,534.972381
95,0.605684,,412.756165
95,0.577716,,432.738554
95,0.551761,,453.095097
96,0.433914,,576.150494
96,0.435370,,574.224352
96,0.426235,,586.531032
97,0.548390,,455.879609
97,0.489232,,511.005382
97,0.551763,,453.093369
98,0.617554,,404.822959
98,0.551063,,453.668503
98,0.479462,,521.417450
99,0.537760,,464.891164
99,0.583638,,428.347804
99,0.563406,,443.729457
100,0.454864,,549.614744
100,0.429127,,582.577572
100,0.454337,,550.251809
101,0.598874,,417.449811
101,0.589774,,423.891121
101,0.548916,,455.443411
102,0.576621,,433.560206
102,0.514143,,486.245829
102,0.581138,,430.190746
103,0.529359,,472.268900
103,0.553911,,451.335734
103,0.460001,,543.476814
104,0.492047,,508.081955
104,0.437369,,571.599455
104,0.483168,,517.418728
105,0.665840,,375.465516
105,0.551599,,453.227582
105,0.560690,,445.879484
106,0.572994,,436.304883
106,0.542400,,460.914247
106,0.522113,,478.823427
107,0.566134,,441.591349
107,0.611943,,408.534807
107,0.684821,,365.058848
108,0.519681,,481.064492
108,0.518841,,481.843031
108,0.596279,,419.266960
109,0.595189,,420.034749
109,0.540581,,462.465611
109,0.621997,,401.931070
110,0.553358,,451.787421
110,0.531003,,470.807009
110,0.601620,,415.544681
111,0.675032,,370.352574
111,0.790264,,316.349992
111,0.520415,,480.385564
112,0.590675,,423.244884
112,0.539867,,463.076591
112,0.489766,,510.447737
113,0.836061,,299.021346
113,0.661577,,377.884831
113,0.645455,,387.323389
114,0.551485,,453.321391
114,0.588866,,424.544785
114,0.610129,,409.749488
115,0.642623,,389.030443
115,0.766352,,326.220757
115,0.706848,,353.682977
116,0.503346,,496.676502
116,0.530850,,470.943182
116,0.513739,,486.628246
117,0.616771,,405.336805
117,0.693026,,360.736758
117,0.597042,,418.731249
118,0.744041,,336.002965
118,0.751314,,332.750417
118,0.756678,,330.391343
119,0.816698,,306.110677
119,0.588106,,425.093610
119,0.729121,,342.878455
120,0.648299,,385.624609
120,0.591383,,422.738032
120,0.653044,,382.822497
121,0.546573,,457.395660
121,0.646972,,386.415678
121,0.536252,,466.198769
122,0.753212,,331.911795
122,0.672789,,371.587592
122,0.682830,,366.123223
123,0.950814,,262.932528
123,0.896007,,279.015806
123,0.892216,,280.201325
124,0.654226,,382.130682
124,0.575858,,434.135020
124,0.595107,,420.092775
125,0.651168,,383.925307
125,0.863361,,289.566049
125,0.577444,,432.942336
126,0.512807,,487.513316
126,0.770846,,324.318799
126,0.754543,,331.326167
127,0.715182,,349.561257
127,0.639287,,391.060872
127,0.726052,,344.327947
128,0.723232,,345.670590
128,0.558804,,447.384340
128,0.657212,,380.394906
