Size np Time Threads
5000 1 2.307715 1
5000 1 2.323391 1
5000 1 2.320599 1
5000 1 2.304887 1
5000 1 2.294875 1
7050.00 2 2.480385 1
7050.00 2 2.469450 1
7050.00 2 2.462745 1
7050.00 2 2.454253 1
7050.00 2 2.496756 1
8650.00 3 2.651407 1
8650.00 3 2.690135 1
8650.00 3 2.683478 1
8650.00 3 2.657839 1
8650.00 3 2.639308 1
10000.00 4 2.827088 1
10000.00 4 2.866715 1
10000.00 4 2.776947 1
10000.00 4 2.826894 1
10000.00 4 2.829224 1
11150.00 5 2.878144 1
11150.00 5 2.929269 1
11150.00 5 2.932856 1
11150.00 5 2.956205 1
11150.00 5 2.898454 1
12200.00 6 3.113007 1
12200.00 6 3.146105 1
12200.00 6 3.174638 1
12200.00 6 3.095352 1
12200.00 6 3.021994 1
