Size np Time Threads
10000 1 2.176450 64
10000 1 2.158960 64
10000 1 2.110923 64
10000 1 2.154055 64
10000 1 2.119964 64
10000 2 1.093221 64
10000 2 1.131737 64
10000 2 1.101015 64
10000 2 1.142362 64
10000 2 1.572543 64
10000 3 5.682517 64
10000 3 5.272146 64
10000 3 5.733412 64
10000 3 5.692221 64
10000 3 6.497532 64
10000 4 3.156686 64
10000 4 3.160429 64
10000 4 3.358958 64
10000 4 3.196536 64
10000 4 3.310297 64
10000 5 4.204134 64
10000 5 4.186179 64
10000 5 4.045029 64
10000 5 4.450605 64
10000 5 4.324302 64
10000 6 4.786479 64
10000 6 5.784697 64
10000 6 5.000783 64
10000 6 4.888174 64
10000 6 5.194206 64
