Size np Time Threads
5000 1 2.230205 64
5000 1 2.720918 64
5000 1 2.375894 64
5000 1 2.201031 64
5000 1 2.221442 64
5000 2 1.148402 64
5000 2 1.638604 64
5000 2 1.395482 64
5000 2 1.115784 64
5000 2 1.128967 64
5000 3 5.738130 64
5000 3 5.696945 64
5000 3 5.729989 64
5000 3 5.814757 64
5000 3 5.963294 64
5000 4 3.143470 64
5000 4 3.205501 64
5000 4 3.581801 64
5000 4 3.052720 64
5000 4 3.260404 64
5000 5 4.676802 64
5000 5 3.883302 64
5000 5 4.136811 64
5000 5 4.184413 64
5000 5 4.282081 64
5000 6 5.055738 64
5000 6 4.905754 64
5000 6 5.177292 64
5000 6 5.178291 64
5000 6 4.995152 64
