Size np Time Threads
5000 1 42.733537 1
5000 1 42.792954 1
5000 1 42.814065 1
5000 1 42.848487 1
5000 1 42.905441 1
5000 2 21.743837 1
5000 2 21.735993 1
5000 2 21.782401 1
5000 2 21.755688 1
5000 2 21.781132 1
5000 3 32.363925 1
5000 3 32.377262 1
5000 3 32.558383 1
5000 3 32.609444 1
5000 3 32.714261 1
5000 4 23.788312 1
5000 4 23.592494 1
5000 4 23.780300 1
5000 4 23.854867 1
5000 4 24.138979 1
5000 5 28.119931 1
5000 5 28.140614 1
5000 5 28.194784 1
5000 5 27.971829 1
5000 5 28.264371 1
5000 6 24.960357 1
5000 6 25.005397 1
5000 6 24.941298 1
5000 6 25.192421 1
5000 6 25.181245 1
