Size np Time Threads
5000 6 7.444368 1
5000 6 7.447571 1
5000 6 7.411683 1
5000 6 7.386394 1
5000 6 7.435261 1
5000 6 3.925989 2
5000 6 3.924285 2
5000 6 3.901299 2
5000 6 3.921115 2
5000 6 3.911405 2
5000 6 2.727319 3
5000 6 2.724768 3
5000 6 2.724363 3
5000 6 2.720406 3
5000 6 2.725768 3
5000 6 2.145246 4
5000 6 2.150127 4
5000 6 2.145938 4
5000 6 2.140464 4
5000 6 2.159743 4
5000 6 1.904479 5
5000 6 1.895478 5
5000 6 2.042895 5
5000 6 1.904205 5
5000 6 1.903863 5
5000 6 1.688953 6
5000 6 1.706217 6
5000 6 1.696248 6
5000 6 1.692312 6
5000 6 1.700300 6
5000 6 1.549277 7
5000 6 1.546777 7
5000 6 1.543871 7
5000 6 1.548874 7
5000 6 1.557779 7
5000 6 1.438227 8
5000 6 1.436724 8
5000 6 1.433361 8
5000 6 1.421398 8
5000 6 1.432273 8
5000 6 1.311213 9
5000 6 1.323493 9
5000 6 1.310477 9
5000 6 1.353842 9
5000 6 1.316611 9
5000 6 1.223521 10
5000 6 1.229783 10
5000 6 1.228029 10
5000 6 1.238634 10
5000 6 1.239112 10
5000 6 1.160571 11
5000 6 1.157600 11
5000 6 1.157336 11
5000 6 1.159852 11
5000 6 1.167320 11
5000 6 1.105897 12
5000 6 1.089911 12
5000 6 1.097828 12
5000 6 1.102433 12
5000 6 1.090729 12
5000 6 1.053027 13
5000 6 1.052316 13
5000 6 1.051560 13
5000 6 1.050901 13
5000 6 1.054450 13
5000 6 0.998368 14
5000 6 1.006385 14
5000 6 1.000974 14
5000 6 0.997802 14
5000 6 0.996588 14
5000 6 1.029690 15
5000 6 1.076037 15
5000 6 0.960274 15
5000 6 1.077844 15
5000 6 1.049182 15
5000 6 1.002406 16
5000 6 0.950084 16
5000 6 1.024031 16
5000 6 1.004942 16
5000 6 1.096074 16
5000 6 1.019145 17
5000 6 0.927031 17
5000 6 0.958084 17
5000 6 1.053288 17
5000 6 0.960108 17
5000 6 0.915644 18
5000 6 0.942902 18
5000 6 0.937181 18
5000 6 1.050298 18
5000 6 1.025559 18
5000 6 0.926242 19
5000 6 0.850033 19
5000 6 0.853515 19
5000 6 0.851119 19
5000 6 0.861761 19
5000 6 0.838271 20
5000 6 0.838782 20
5000 6 0.845005 20
5000 6 0.841143 20
5000 6 0.830562 20
5000 6 0.810521 21
5000 6 0.812599 21
5000 6 0.816220 21
5000 6 0.814497 21
5000 6 0.822633 21
5000 6 0.818142 22
5000 6 0.790771 22
5000 6 0.824978 22
5000 6 0.805050 22
5000 6 0.806446 22
5000 6 0.778490 23
5000 6 0.782625 23
5000 6 0.764319 23
5000 6 0.772574 23
5000 6 0.788390 23
5000 6 0.757614 24
5000 6 0.753767 24
5000 6 0.774487 24
5000 6 0.747026 24
5000 6 0.777795 24
5000 6 0.739470 25
5000 6 0.738553 25
5000 6 0.728066 25
5000 6 0.711453 25
5000 6 0.712778 25
5000 6 0.720862 26
5000 6 0.716746 26
5000 6 0.722003 26
5000 6 0.705008 26
5000 6 0.722660 26
5000 6 0.718876 27
5000 6 0.718678 27
5000 6 0.704029 27
5000 6 0.715516 27
5000 6 0.711915 27
5000 6 0.705320 28
5000 6 0.699150 28
5000 6 0.685492 28
5000 6 0.696202 28
5000 6 0.698707 28
5000 6 0.679051 29
5000 6 0.692757 29
5000 6 0.690958 29
5000 6 0.665494 29
5000 6 0.697491 29
5000 6 0.690818 30
5000 6 0.686225 30
5000 6 0.670675 30
5000 6 0.675641 30
5000 6 0.689874 30
5000 6 0.650847 31
5000 6 0.681226 31
5000 6 0.668814 31
5000 6 0.685074 31
5000 6 0.666791 31
5000 6 0.658656 32
5000 6 0.659016 32
5000 6 0.668439 32
5000 6 0.663265 32
5000 6 0.658355 32
5000 6 0.663425 33
5000 6 0.651556 33
5000 6 0.658406 33
5000 6 0.722885 33
5000 6 0.673447 33
5000 6 0.655529 34
5000 6 0.655695 34
5000 6 0.653562 34
5000 6 0.635264 34
5000 6 0.691284 34
5000 6 0.631491 35
5000 6 0.838628 35
5000 6 0.639528 35
5000 6 0.663528 35
5000 6 0.657020 35
5000 6 0.673333 36
5000 6 0.670057 36
5000 6 0.641032 36
5000 6 0.637779 36
5000 6 0.644011 36
5000 6 0.650457 37
5000 6 0.629128 37
5000 6 0.623790 37
5000 6 0.630158 37
5000 6 0.629088 37
5000 6 0.627300 38
5000 6 0.626797 38
5000 6 0.617230 38
5000 6 0.619997 38
5000 6 0.649214 38
5000 6 0.606128 39
5000 6 0.627149 39
5000 6 0.633527 39
5000 6 0.632488 39
5000 6 0.610592 39
5000 6 0.609573 40
5000 6 0.642413 40
5000 6 0.625746 40
5000 6 0.617041 40
5000 6 0.656486 40
5000 6 0.610099 41
5000 6 0.624507 41
5000 6 0.653989 41
5000 6 0.612900 41
5000 6 0.613591 41
5000 6 0.601280 42
5000 6 0.614464 42
5000 6 0.624068 42
5000 6 0.615711 42
5000 6 0.622569 42
5000 6 0.867979 43
5000 6 0.620956 43
5000 6 0.587162 43
5000 6 0.599394 43
5000 6 0.599014 43
5000 6 0.596392 44
5000 6 0.597798 44
5000 6 0.595083 44
5000 6 0.587800 44
5000 6 0.595184 44
5000 6 0.590714 45
5000 6 0.575938 45
5000 6 0.602403 45
5000 6 0.606012 45
5000 6 0.591022 45
5000 6 0.661570 46
5000 6 0.592110 46
5000 6 0.594150 46
5000 6 0.574083 46
5000 6 0.582096 46
5000 6 0.586913 47
5000 6 0.568175 47
5000 6 0.582773 47
5000 6 0.582289 47
5000 6 0.581083 47
5000 6 0.579452 48
5000 6 0.677853 48
5000 6 0.587936 48
5000 6 0.600478 48
5000 6 0.592967 48
5000 6 0.577923 49
5000 6 0.596006 49
5000 6 0.584889 49
5000 6 0.584015 49
5000 6 0.585636 49
5000 6 0.593164 50
5000 6 0.571079 50
5000 6 0.562649 50
5000 6 0.602008 50
5000 6 1.262752 50
5000 6 0.569963 51
5000 6 0.577790 51
5000 6 0.566735 51
5000 6 0.551953 51
5000 6 0.555498 51
5000 6 0.564581 52
5000 6 0.583819 52
5000 6 0.581360 52
5000 6 0.571759 52
5000 6 0.570838 52
5000 6 0.570524 53
5000 6 0.573890 53
5000 6 0.556081 53
5000 6 0.566061 53
5000 6 0.569635 53
5000 6 0.555597 54
5000 6 0.582985 54
5000 6 0.568999 54
5000 6 0.563657 54
5000 6 0.641909 54
5000 6 0.552123 55
5000 6 0.549647 55
5000 6 0.560467 55
5000 6 0.554192 55
5000 6 0.545059 55
5000 6 0.578858 56
5000 6 0.554883 56
5000 6 0.578802 56
5000 6 0.562921 56
5000 6 0.567824 56
5000 6 0.559189 57
5000 6 0.558897 57
5000 6 0.545778 57
5000 6 0.556266 57
5000 6 0.553198 57
5000 6 0.549914 58
5000 6 0.568684 58
5000 6 0.570134 58
5000 6 0.569288 58
5000 6 0.561545 58
5000 6 0.551409 59
5000 6 0.537036 59
5000 6 0.542293 59
5000 6 0.548612 59
5000 6 0.556363 59
5000 6 0.561275 60
5000 6 0.564605 60
5000 6 0.562917 60
5000 6 0.562042 60
5000 6 0.587075 60
5000 6 0.536355 61
5000 6 0.541588 61
5000 6 0.554374 61
5000 6 0.556346 61
5000 6 0.514806 61
5000 6 0.549738 62
5000 6 0.534092 62
5000 6 0.532185 62
5000 6 0.568035 62
5000 6 0.536223 62
5000 6 0.530521 63
5000 6 0.577055 63
5000 6 0.554684 63
5000 6 0.569595 63
5000 6 0.545811 63
5000 6 0.559537 64
5000 6 0.549055 64
5000 6 0.556250 64
5000 6 0.572308 64
5000 6 0.543665 64
