Size np Time Threads
5000 4 10.985225 1
5000 4 10.963175 1
5000 4 10.936454 1
5000 4 10.963506 1
5000 4 10.928754 1
5000 4 5.746941 2
5000 4 5.754736 2
5000 4 5.761271 2
5000 4 5.768788 2
5000 4 5.762304 2
5000 4 3.985510 3
5000 4 3.973437 3
5000 4 3.977933 3
5000 4 3.976230 3
5000 4 3.997692 3
5000 4 3.124716 4
5000 4 3.123154 4
5000 4 3.113013 4
5000 4 3.121090 4
5000 4 3.109976 4
5000 4 2.719942 5
5000 4 2.706298 5
5000 4 2.718502 5
5000 4 2.707095 5
5000 4 2.718555 5
5000 4 2.359021 6
5000 4 2.356860 6
5000 4 2.355944 6
5000 4 2.369866 6
5000 4 2.359772 6
5000 4 2.130373 7
5000 4 2.127218 7
5000 4 2.149112 7
5000 4 2.132247 7
5000 4 2.142632 7
5000 4 1.967030 8
5000 4 1.986657 8
5000 4 1.957563 8
5000 4 1.962922 8
5000 4 1.972091 8
5000 4 1.808338 9
5000 4 1.818584 9
5000 4 1.821595 9
5000 4 1.811182 9
5000 4 1.827858 9
5000 4 1.709985 10
5000 4 1.713115 10
5000 4 1.711256 10
5000 4 1.709965 10
5000 4 1.698743 10
5000 4 1.612112 11
5000 4 1.596891 11
5000 4 1.609944 11
5000 4 1.597279 11
5000 4 1.606553 11
5000 4 1.535891 12
5000 4 1.520915 12
5000 4 1.525626 12
5000 4 1.513456 12
5000 4 1.553757 12
5000 4 1.445531 13
5000 4 1.439821 13
5000 4 1.447854 13
5000 4 1.441013 13
5000 4 1.447571 13
5000 4 1.391592 14
5000 4 1.376238 14
5000 4 1.394246 14
5000 4 1.379264 14
5000 4 1.376049 14
5000 4 1.301219 15
5000 4 1.307016 15
5000 4 1.305776 15
5000 4 1.303822 15
5000 4 1.300500 15
5000 4 1.250093 16
5000 4 1.249680 16
5000 4 1.254264 16
5000 4 1.253281 16
5000 4 1.260172 16
5000 4 1.218260 17
5000 4 1.222159 17
5000 4 1.208023 17
5000 4 1.221170 17
5000 4 1.216618 17
5000 4 1.178059 18
5000 4 1.173808 18
5000 4 1.176434 18
5000 4 1.159838 18
5000 4 1.203044 18
5000 4 1.127364 19
5000 4 1.142975 19
5000 4 1.131378 19
5000 4 1.125814 19
5000 4 1.119470 19
5000 4 1.101118 20
5000 4 1.103771 20
5000 4 1.109482 20
5000 4 1.112273 20
5000 4 1.117927 20
5000 4 1.079878 21
5000 4 1.090559 21
5000 4 1.092626 21
5000 4 1.066451 21
5000 4 1.086148 21
5000 4 1.050793 22
5000 4 1.047937 22
5000 4 1.053387 22
5000 4 1.082321 22
5000 4 1.047190 22
5000 4 1.032383 23
5000 4 1.025857 23
5000 4 1.041284 23
5000 4 1.028039 23
5000 4 1.021937 23
5000 4 0.999859 24
5000 4 1.044059 24
5000 4 1.012253 24
5000 4 1.014750 24
5000 4 1.013617 24
5000 4 0.970190 25
5000 4 0.989555 25
5000 4 0.977413 25
5000 4 0.987512 25
5000 4 1.014799 25
5000 4 0.943494 26
5000 4 0.956007 26
5000 4 0.948693 26
5000 4 0.947674 26
5000 4 0.956964 26
5000 4 0.935099 27
5000 4 0.931566 27
5000 4 0.926176 27
5000 4 0.936027 27
5000 4 0.953453 27
5000 4 0.922745 28
5000 4 0.908828 28
5000 4 0.920737 28
5000 4 0.915988 28
5000 4 0.904400 28
5000 4 0.898058 29
5000 4 0.893245 29
5000 4 0.887082 29
5000 4 0.887756 29
5000 4 0.900199 29
5000 4 0.875070 30
5000 4 0.897359 30
5000 4 0.872381 30
5000 4 0.873873 30
5000 4 0.872618 30
5000 4 0.852588 31
5000 4 0.863169 31
5000 4 0.862574 31
5000 4 0.853757 31
5000 4 0.869771 31
5000 4 0.846130 32
5000 4 0.844856 32
5000 4 0.843615 32
5000 4 0.834848 32
5000 4 0.840695 32
5000 4 0.841520 33
5000 4 0.838210 33
5000 4 0.844274 33
5000 4 0.836048 33
5000 4 0.846409 33
5000 4 0.832470 34
5000 4 0.831262 34
5000 4 0.823216 34
5000 4 0.836451 34
5000 4 0.822295 34
5000 4 0.816359 35
5000 4 0.807949 35
5000 4 0.812524 35
5000 4 0.826059 35
5000 4 0.821156 35
5000 4 0.800474 36
5000 4 0.800834 36
5000 4 0.816497 36
5000 4 0.802686 36
5000 4 0.807985 36
5000 4 0.801005 37
5000 4 0.787841 37
5000 4 0.789619 37
5000 4 0.786790 37
5000 4 0.787735 37
5000 4 0.809096 38
5000 4 0.788913 38
5000 4 0.799650 38
5000 4 0.809569 38
5000 4 0.823408 38
5000 4 0.776667 39
5000 4 0.776992 39
5000 4 0.784596 39
5000 4 0.783079 39
5000 4 0.778285 39
5000 4 0.760094 40
5000 4 0.767324 40
5000 4 0.766879 40
5000 4 0.771164 40
5000 4 0.767230 40
5000 4 0.776314 41
5000 4 0.764886 41
5000 4 0.757573 41
5000 4 0.765751 41
5000 4 0.758520 41
5000 4 0.745877 42
5000 4 0.755756 42
5000 4 0.758632 42
5000 4 0.777118 42
5000 4 0.746983 42
5000 4 0.745195 43
5000 4 0.756930 43
5000 4 0.757071 43
5000 4 0.749550 43
5000 4 0.750432 43
5000 4 0.737053 44
5000 4 0.745409 44
5000 4 0.740778 44
5000 4 0.745149 44
5000 4 0.735733 44
5000 4 0.743402 45
5000 4 0.748739 45
5000 4 0.733888 45
5000 4 0.752464 45
5000 4 0.729971 45
5000 4 0.750443 46
5000 4 0.743026 46
5000 4 0.719293 46
5000 4 0.734027 46
5000 4 0.721453 46
5000 4 0.722769 47
5000 4 0.714705 47
5000 4 0.714249 47
5000 4 0.718573 47
5000 4 0.716525 47
5000 4 0.719388 48
5000 4 0.727113 48
5000 4 0.708684 48
5000 4 0.715898 48
5000 4 0.715053 48
5000 4 0.717347 49
5000 4 0.714204 49
5000 4 0.707350 49
5000 4 0.710472 49
5000 4 0.710076 49
5000 4 0.725907 50
5000 4 0.698956 50
5000 4 0.710124 50
5000 4 0.711157 50
5000 4 0.707655 50
5000 4 0.699156 51
5000 4 0.697414 51
5000 4 0.702833 51
5000 4 0.702087 51
5000 4 0.707384 51
5000 4 0.703922 52
5000 4 0.699885 52
5000 4 0.709304 52
5000 4 0.712330 52
5000 4 0.700157 52
5000 4 0.718267 53
5000 4 0.689069 53
5000 4 0.690748 53
5000 4 0.707184 53
5000 4 0.691188 53
5000 4 0.692455 54
5000 4 0.697520 54
5000 4 0.693246 54
5000 4 0.695297 54
5000 4 0.696981 54
5000 4 0.686198 55
5000 4 0.680930 55
5000 4 0.693890 55
5000 4 0.672842 55
5000 4 0.671448 55
5000 4 0.679174 56
5000 4 0.687260 56
5000 4 0.691556 56
5000 4 0.687401 56
5000 4 0.678914 56
5000 4 0.687379 57
5000 4 0.681295 57
5000 4 0.827194 57
5000 4 0.682051 57
5000 4 0.678600 57
5000 4 0.667524 58
5000 4 0.681520 58
5000 4 0.683304 58
5000 4 0.670682 58
5000 4 0.669332 58
5000 4 0.669502 59
5000 4 0.660513 59
5000 4 0.669358 59
5000 4 0.677466 59
5000 4 0.673662 59
5000 4 0.706145 60
5000 4 0.670919 60
5000 4 0.671232 60
5000 4 0.668573 60
5000 4 0.682395 60
5000 4 0.662188 61
5000 4 0.659698 61
5000 4 0.656991 61
5000 4 0.667437 61
5000 4 0.658232 61
5000 4 0.664963 62
5000 4 0.667679 62
5000 4 0.659607 62
5000 4 0.675612 62
5000 4 0.660515 62
5000 4 0.674470 63
5000 4 0.660272 63
