Size np Time Threads
5000 3 14.651898 1
5000 3 14.626226 1
5000 3 14.605859 1
5000 3 14.606021 1
5000 3 14.605819 1
5000 3 7.540340 2
5000 3 7.574499 2
5000 3 7.560271 2
5000 3 7.587847 2
5000 3 7.549757 2
5000 3 5.213196 3
5000 3 5.211943 3
5000 3 5.213056 3
5000 3 5.214008 3
5000 3 5.214666 3
5000 3 4.032885 4
5000 3 4.021664 4
5000 3 4.060862 4
5000 3 4.069924 4
5000 3 4.123058 4
5000 3 3.437451 5
5000 3 3.449735 5
5000 3 3.471178 5
5000 3 3.465775 5
5000 3 3.558155 5
5000 3 3.025413 6
5000 3 3.002385 6
5000 3 3.001398 6
5000 3 3.022753 6
5000 3 3.021352 6
5000 3 2.700733 7
5000 3 2.690352 7
5000 3 2.686193 7
5000 3 2.701711 7
5000 3 2.697942 7
5000 3 2.432883 8
5000 3 2.422413 8
5000 3 2.451421 8
5000 3 2.423641 8
5000 3 2.424899 8
5000 3 2.236958 9
5000 3 2.250596 9
5000 3 2.228037 9
5000 3 2.236027 9
5000 3 2.235667 9
5000 3 2.077202 10
5000 3 2.066210 10
5000 3 2.082131 10
5000 3 2.075001 10
5000 3 2.100598 10
5000 3 1.969886 11
5000 3 1.968514 11
5000 3 1.968265 11
5000 3 1.964846 11
5000 3 1.963457 11
5000 3 1.878672 12
5000 3 1.870919 12
5000 3 1.871005 12
5000 3 1.848376 12
5000 3 1.843850 12
5000 3 1.736569 13
5000 3 1.756920 13
5000 3 1.741920 13
5000 3 1.766808 13
5000 3 1.758386 13
5000 3 1.669257 14
5000 3 1.666493 14
5000 3 1.657660 14
5000 3 1.669723 14
5000 3 1.665783 14
5000 3 1.601162 15
5000 3 1.596860 15
5000 3 1.595419 15
5000 3 1.593888 15
5000 3 1.584385 15
5000 3 1.553010 16
5000 3 1.553300 16
5000 3 1.548138 16
5000 3 1.556481 16
5000 3 1.536058 16
5000 3 1.492678 17
5000 3 1.542106 17
5000 3 1.502385 17
5000 3 1.500107 17
5000 3 1.509400 17
5000 3 1.438491 18
5000 3 1.455823 18
5000 3 1.437400 18
5000 3 1.439394 18
5000 3 1.446053 18
5000 3 1.393366 19
5000 3 1.387896 19
5000 3 1.400827 19
5000 3 1.405012 19
5000 3 1.391464 19
5000 3 1.368921 20
5000 3 1.371143 20
5000 3 1.365977 20
5000 3 1.409170 20
5000 3 1.385557 20
5000 3 1.323884 21
5000 3 1.356612 21
5000 3 1.340909 21
5000 3 1.330854 21
5000 3 1.334439 21
5000 3 1.302562 22
5000 3 1.298717 22
5000 3 1.302219 22
5000 3 1.306870 22
5000 3 1.300043 22
5000 3 1.267435 23
5000 3 1.279005 23
5000 3 1.280706 23
5000 3 1.279144 23
5000 3 1.300649 23
5000 3 1.247300 24
5000 3 1.251869 24
5000 3 1.235976 24
5000 3 1.256786 24
5000 3 1.247980 24
5000 3 1.203261 25
5000 3 1.228047 25
5000 3 1.220691 25
5000 3 1.228904 25
5000 3 1.233396 25
5000 3 1.216530 26
5000 3 1.201761 26
5000 3 1.206418 26
5000 3 1.210428 26
5000 3 1.202495 26
5000 3 1.182148 27
5000 3 1.172847 27
5000 3 1.176578 27
5000 3 1.177758 27
5000 3 1.178597 27
5000 3 1.165734 28
5000 3 1.149781 28
5000 3 1.142726 28
5000 3 1.175131 28
5000 3 1.153090 28
5000 3 1.122072 29
5000 3 1.133344 29
5000 3 1.147913 29
5000 3 1.155026 29
5000 3 1.138249 29
5000 3 1.128918 30
5000 3 1.115976 30
5000 3 1.152208 30
5000 3 1.122340 30
5000 3 1.131854 30
5000 3 1.119445 31
5000 3 1.127576 31
5000 3 1.115906 31
5000 3 1.091373 31
5000 3 1.107509 31
5000 3 1.102030 32
5000 3 1.089987 32
5000 3 1.090099 32
5000 3 1.093407 32
5000 3 1.106336 32
5000 3 1.103082 33
5000 3 1.093218 33
5000 3 1.090271 33
5000 3 1.111995 33
5000 3 1.080381 33
5000 3 1.061707 34
5000 3 1.083856 34
5000 3 1.065434 34
5000 3 1.079864 34
5000 3 1.087873 34
5000 3 1.043559 35
5000 3 1.051631 35
5000 3 1.040422 35
5000 3 1.021423 35
5000 3 1.046569 35
5000 3 1.048075 36
5000 3 1.079981 36
5000 3 1.050480 36
5000 3 1.010206 36
5000 3 1.045504 36
5000 3 1.003371 37
5000 3 1.007443 37
5000 3 0.990533 37
5000 3 1.007576 37
5000 3 1.024068 37
5000 3 0.988733 38
5000 3 0.989809 38
5000 3 0.986858 38
5000 3 0.984180 38
5000 3 0.986993 38
5000 3 1.107032 39
5000 3 0.972688 39
5000 3 0.963091 39
5000 3 0.972862 39
5000 3 0.981161 39
5000 3 0.955724 40
5000 3 0.993795 40
5000 3 0.958398 40
5000 3 0.955825 40
5000 3 0.958928 40
5000 3 0.941216 41
5000 3 0.943978 41
5000 3 0.947815 41
5000 3 0.947635 41
5000 3 0.944032 41
5000 3 0.938792 42
5000 3 0.941763 42
5000 3 0.941089 42
5000 3 0.943033 42
5000 3 0.948905 42
5000 3 0.944892 43
5000 3 0.941963 43
5000 3 0.965748 43
5000 3 0.925603 43
5000 3 0.935051 43
5000 3 0.920149 44
5000 3 0.928462 44
5000 3 0.929694 44
5000 3 0.931619 44
5000 3 0.922309 44
5000 3 0.909347 45
5000 3 0.936226 45
5000 3 0.918366 45
5000 3 0.918023 45
5000 3 0.916993 45
5000 3 0.908757 46
5000 3 0.929337 46
5000 3 0.910566 46
5000 3 0.911927 46
5000 3 0.908500 46
5000 3 0.898257 47
5000 3 0.901957 47
5000 3 0.901863 47
5000 3 0.899094 47
5000 3 0.898519 47
5000 3 0.907336 48
5000 3 0.897270 48
5000 3 0.897744 48
5000 3 0.893339 48
5000 3 0.893659 48
5000 3 0.895318 49
5000 3 0.885886 49
5000 3 0.885248 49
5000 3 0.919759 49
5000 3 0.899100 49
5000 3 0.885415 50
5000 3 0.876497 50
5000 3 0.885277 50
5000 3 0.890091 50
5000 3 0.902416 50
5000 3 0.872016 51
5000 3 0.869857 51
5000 3 0.891792 51
5000 3 0.877591 51
5000 3 0.871407 51
5000 3 0.875722 52
5000 3 0.871806 52
5000 3 0.894393 52
5000 3 0.873720 52
5000 3 0.875996 52
5000 3 0.863591 53
5000 3 0.872080 53
5000 3 0.865542 53
5000 3 0.869665 53
5000 3 0.894049 53
5000 3 0.856788 54
5000 3 0.871051 54
5000 3 0.857794 54
5000 3 0.858759 54
5000 3 0.855545 54
5000 3 0.841958 55
5000 3 0.854224 55
5000 3 0.858128 55
5000 3 0.856774 55
5000 3 0.840961 55
5000 3 0.882146 56
5000 3 0.847077 56
5000 3 0.843201 56
5000 3 0.859116 56
5000 3 0.845459 56
5000 3 0.843099 57
5000 3 0.867603 57
5000 3 0.850011 57
5000 3 0.841487 57
5000 3 0.843499 57
5000 3 0.838476 58
5000 3 0.836516 58
5000 3 0.858984 58
5000 3 0.835426 58
5000 3 0.829947 58
