cores,exTime,gflops
82,0.488645,,511.618849
83,0.548581,,455.720939
83,0.447841,,558.234392
83,0.519627,,481.114509
84,0.451640,,553.538213
84,0.443899,,563.190694
84,0.443621,,563.544621
85,0.511113,,489.128813
85,0.490509,,509.674439
85,0.500506,,499.494698
86,0.532340,,469.624417
86,0.527310,,474.104798
86,0.467272,,535.020799
87,0.509300,,490.869784
87,0.526108,,475.188053
87,0.459653,,543.888342
88,0.462452,,540.597223
88,0.476834,,524.291734
88,0.478728,,522.216999
89,0.520388,,480.410330
89,0.453671,,551.060524
89,0.469440,,532.549786
90,0.659423,,379.119136
90,0.652066,,383.396694
90,0.517688,,482.916125
91,0.575960,,434.057609
91,0.553228,,451.892903
91,0.513737,,486.630492
92,0.464060,,538.723817
92,0.457704,,546.204722
92,0.465027,,537.603639
93,0.540944,,462.154754
93,0.544762,,458.915914
93,0.513615,,486.745683
94,0.467624,,534.617918
94,0.562251,,444.641263
94,0.476572,,524.579189
95,0.507119,,492.980895
95,0.472923,,528.627143
95,0.611098,,409.099548
96,0.477807,,523.223544
96,0.472207,,529.428968
96,0.451492,,553.719653
97,0.575738,,434.225639
97,0.608432,,410.891980
97,0.501439,,498.564672
98,0.576599,,433.577245
98,0.701177,,356.543601
98,0.546985,,457.051296
99,0.628119,,398.013974
99,0.490784,,509.389030
99,0.603672,,414.132445
100,0.506060,,494.012682
100,0.433012,,577.351797
100,0.480646,,520.133400
101,0.547231,,456.845372
101,0.902940,,276.873355
101,0.604800,,413.359794
102,0.779047,,320.904720
102,0.656318,,380.912754
102,0.632574,,395.210983
103,0.569855,,438.708063
103,0.521778,,479.131210
103,0.558426,,447.687119
104,0.521850,,479.064408
104,0.568497,,439.756228
104,0.484575,,515.916437
105,0.744616,,335.743494
105,0.709857,,352.183465
105,0.899010,,278.083617
106,0.616878,,405.266686
106,0.547772,,456.393977
106,0.691407,,361.581680
107,0.725502,,344.588798
107,0.690375,,362.122029
107,0.648026,,385.786939
108,0.623355,,401.055691
108,0.572292,,436.839651
108,0.551889,,452.989846
109,0.624083,,400.588062
109,0.667892,,374.312111
109,0.656869,,380.593460
110,0.758229,,329.715697
110,0.611223,,409.015896
110,0.667528,,374.516087
111,0.698988,,357.660113
111,0.652001,,383.434876
111,0.752824,,332.083137
112,0.625308,,399.803035
112,0.649162,,385.111999
112,0.526640,,474.707156
113,0.768211,,325.431435
113,0.524668,,476.491980
113,0.537211,,465.366820
114,0.732310,,341.385399
114,0.812342,,307.752154
114,0.613326,,407.613700
115,0.668666,,373.878723
115,0.598640,,417.613176
115,0.715645,,349.335004
116,0.637899,,391.911760
116,0.678803,,368.295302
116,0.543603,,459.894674
117,0.634319,,394.123442
117,0.650013,,384.607776
117,0.768625,,325.255978
118,0.627946,,398.123633
118,0.743582,,336.210318
118,0.787908,,317.295768
119,0.753273,,331.884999
119,0.627626,,398.326570
119,0.668603,,373.913787
120,0.563335,,443.785433
120,0.597648,,418.306087
120,0.659504,,379.072531
121,0.803020,,311.324808
121,0.721572,,346.465725
121,0.641977,,389.422193
122,0.532658,,469.344061
122,0.672306,,371.854612
122,0.699981,,357.152672
123,0.679125,,368.120976
123,0.794461,,314.678843
123,0.706181,,354.016790
124,0.655679,,381.283965
124,0.621573,,402.205177
124,0.556806,,448.989077
125,0.912550,,273.957512
125,0.659618,,379.007052
125,0.910588,,274.547987
126,0.809189,,308.951445
126,0.711110,,351.562946
126,0.633979,,394.335114
127,0.760920,,328.549617
127,0.554849,,450.573420
127,0.825449,,302.865449
128,0.688163,,363.286100
128,0.706364,,353.925249
128,0.596096,,419.395828
