cores,exTime,gflops
77,1.254512,,1594.245733
78,1.554989,,1286.182647
78,1.574823,,1269.984388
78,1.551331,,1289.215111
79,1.549760,,1290.522782
79,1.552551,,1288.202048
79,1.544766,,1294.694582
80,1.456635,,1373.027973
80,1.429214,,1399.370629
80,1.455458,,1374.137591
81,1.372730,,1456.950892
81,1.376722,,1452.725757
81,1.372381,,1457.321280
82,0.789393,,2533.593518
82,0.789853,,2532.116790
82,0.799775,,2500.702754
83,0.790093,,2531.348018
83,0.795807,,2513.173023
83,0.789604,,2532.915535
84,1.547755,,1292.193986
84,1.540309,,1298.440846
84,1.535551,,1302.464269
85,1.129370,,1770.898291
85,1.129162,,1771.225737
85,1.122664,,1781.476179
86,0.766691,,2608.611578
86,0.767254,,2606.700257
86,0.766577,,2609.002116
87,0.997125,,2005.766762
87,1.005542,,1988.976960
87,1.000257,,1999.486486
88,1.352432,,1478.817189
88,1.347924,,1483.763249
88,1.351703,,1479.614545
89,1.350016,,1481.464085
89,1.346851,,1484.945731
89,1.356087,,1474.832042
90,1.184807,,1688.039026
90,1.180477,,1694.230907
90,1.181189,,1693.208555
91,1.266562,,1579.077735
91,1.287112,,1553.866096
91,1.277082,,1566.070430
92,2.134691,,936.903875
92,2.124258,,941.505277
92,2.118232,,944.183460
93,0.956876,,2090.135527
93,0.972572,,2056.402825
93,0.965562,,2071.332535
94,0.707815,,2825.598389
94,0.710720,,2814.049666
94,0.703231,,2844.016761
95,1.080637,,1850.760671
95,1.072946,,1864.026522
95,1.078932,,1853.684160
96,1.355663,,1475.292951
96,1.339430,,1493.172236
96,1.343669,,1488.461521
97,1.349253,,1482.301764
97,1.359817,,1470.785870
97,1.348756,,1482.848150
98,1.686232,,1186.076427
98,1.696477,,1178.913509
98,1.686816,,1185.666075
99,2.437735,,820.433696
99,2.388306,,837.413500
99,2.383047,,839.261838
100,1.516188,,1319.097432
100,1.520803,,1315.094589
100,1.520437,,1315.411597
101,1.489570,,1342.669428
101,1.511046,,1323.586104
101,1.511465,,1323.219191
102,1.891422,,1057.405499
102,1.891780,,1057.205652
102,1.873307,,1067.630813
103,1.877366,,1065.322380
103,1.871029,,1068.930674
103,1.835629,,1089.544648
104,1.319325,,1515.926336
104,1.292459,,1547.437302
104,1.315369,,1520.486458
105,2.107079,,949.181351
105,2.095413,,954.465836
105,2.073634,,964.490140
106,0.606870,,3295.600243
106,0.605657,,3302.197867
106,0.607159,,3294.028269
107,0.611345,,3271.475816
107,0.600474,,3330.700171
107,0.604568,,3308.146742
108,1.377970,,1451.409908
108,1.380677,,1448.564610
108,1.382513,,1446.641146
109,1.387997,,1440.925210
109,1.368416,,1461.543861
109,1.381629,,1447.566100
110,1.533307,,1304.370255
110,1.540460,,1298.313498
110,1.532914,,1304.704942
111,0.846671,,2362.191733
111,0.851388,,2349.104260
111,0.857312,,2332.873527
112,1.719165,,1163.355211
112,1.721179,,1161.993965
112,1.718940,,1163.507960
113,1.717089,,1164.762009
113,1.713160,,1167.433252
113,1.712590,,1167.821874
114,2.022055,,989.092951
114,1.997101,,1001.451445
114,1.995585,,1002.212355
115,0.908265,,2201.999979
115,0.911352,,2194.540891
115,0.901044,,2219.647739
116,2.579148,,775.449866
116,2.597791,,769.884795
116,2.550337,,784.210130
117,2.781178,,719.119634
117,2.896592,,690.466553
117,2.853679,,700.849672
118,0.530158,,3772.458571
118,0.542246,,3688.361071
118,0.537816,,3718.745257
119,1.060574,,1885.771427
119,1.043681,,1916.294934
119,1.044370,,1915.030917
120,1.380576,,1448.670265
120,1.396456,,1432.197369
120,1.389089,,1439.792992
121,1.479528,,1351.782475
121,1.488077,,1344.016716
121,1.461281,,1368.662282
122,0.511596,,3909.336528
122,0.512059,,3905.800757
122,0.507875,,3937.977019
123,0.748191,,2673.114926
123,0.739973,,2702.802560
123,0.740855,,2699.584227
124,2.727306,,733.324444
124,2.745752,,728.397911
124,2.712340,,737.370637
125,2.411324,,829.419837
125,2.399407,,833.539458
125,2.399549,,833.490115
126,0.920295,,2173.216525
126,0.908651,,2201.065185
126,0.915742,,2184.020706
127,0.909289,,2199.520541
127,0.906567,,2206.125962
127,0.943347,,2120.109722
128,1.793663,,1115.036739
128,1.782515,,1122.010469
128,1.798688,,1111.921518
