cores,exTime,gflops
78,1.479558,,1351.754653
78,1.482254,,1349.295978
79,1.510394,,1324.157610
79,1.507602,,1326.610113
79,1.497167,,1335.856624
80,1.512147,,1322.622322
80,1.494891,,1337.890561
80,1.502368,,1331.231498
81,1.506932,,1327.200053
81,1.506482,,1327.596250
81,1.510052,,1324.457336
82,1.489178,,1343.022410
82,1.490582,,1341.757811
82,1.496843,,1336.145463
83,1.950388,,1025.436828
83,1.918297,,1042.591597
83,1.906716,,1048.923968
84,1.489700,,1342.552486
84,1.493370,,1339.253191
84,1.491901,,1340.571316
85,1.504699,,1329.169838
85,1.505750,,1328.241708
85,1.501810,,1331.726076
86,1.546425,,1293.305634
86,1.555101,,1286.090221
86,1.547135,,1292.711675
87,1.779513,,1123.903188
87,1.737300,,1151.211435
87,1.796922,,1113.014320
88,1.525388,,1311.141669
88,1.532021,,1305.465000
88,1.536612,,1301.564630
89,1.536508,,1301.652665
89,1.528448,,1308.516590
89,1.532293,,1305.233047
90,1.498290,,1334.854725
90,1.500552,,1332.842628
90,1.497604,,1335.466222
91,1.498570,,1334.605384
91,1.499836,,1333.478887
91,1.505704,,1328.282571
92,1.517396,,1318.047859
92,1.528512,,1308.461878
92,1.529274,,1307.810050
93,1.654408,,1208.891461
93,1.694363,,1180.384725
93,1.714110,,1166.786541
94,1.860567,,1074.941336
94,1.817113,,1100.647302
94,1.811287,,1104.187158
95,1.616457,,1237.273832
95,1.614105,,1239.076642
95,1.568766,,1274.887005
96,1.468265,,1362.152311
96,1.476588,,1354.474407
96,1.450139,,1379.178475
97,1.471905,,1358.783044
97,1.468308,,1362.111988
97,1.476525,,1354.531909
98,1.471403,,1359.246769
98,1.470943,,1359.672277
98,1.472535,,1358.201932
99,1.471671,,1358.998944
99,1.475535,,1355.440204
99,1.466634,,1363.667098
100,1.467601,,1362.767917
100,1.479397,,1351.902357
100,1.458547,,1371.228051
101,1.471630,,1359.036881
101,1.475125,,1355.817163
101,1.479301,,1351.990115
102,1.510824,,1323.780652
102,1.500256,,1333.105703
102,1.500009,,1333.325257
103,1.546427,,1293.304062
103,1.528778,,1308.234160
103,1.501522,,1331.981501
104,1.450361,,1378.967087
104,1.479670,,1351.653051
104,1.448176,,1381.047542
105,1.469052,,1361.422568
105,1.446924,,1382.243007
105,1.452228,,1377.194139
106,1.444701,,1384.369161
106,1.451281,,1378.092803
106,1.462514,,1367.507844
107,2.356310,,848.784929
107,2.280166,,877.128972
107,2.219179,,901.234379
108,1.396470,,1432.182721
108,1.404799,,1423.691672
108,1.383274,,1445.845205
109,1.391327,,1437.476826
109,1.411744,,1416.687748
109,1.397557,,1431.068508
110,1.400492,,1428.069587
110,1.404545,,1423.948603
110,1.401231,,1427.316040
111,1.418565,,1409.875858
111,1.405922,,1422.553741
111,1.413490,,1414.937672
112,1.409444,,1418.999439
112,1.439119,,1389.738921
112,1.388592,,1440.308022
113,1.417206,,1411.227196
113,1.448663,,1380.583122
113,1.410661,,1417.775421
114,1.465897,,1364.352303
114,1.485377,,1346.459798
114,1.547148,,1292.701056
115,1.552650,,1288.120701
115,1.480627,,1350.778709
115,1.462671,,1367.361927
116,1.508119,,1326.155285
116,1.521661,,1314.353067
116,1.597213,,1252.180824
117,1.420763,,1407.693910
117,1.384989,,1444.054471
117,1.375620,,1453.890260
118,1.377872,,1451.513755
118,1.387761,,1441.170518
118,1.391144,,1437.665569
119,1.370568,,1459.248968
119,1.429267,,1399.318761
119,1.397248,,1431.385173
120,1.327004,,1507.154976
120,1.355292,,1475.696354
120,1.334096,,1499.142252
121,1.367015,,1463.041749
121,1.337983,,1494.787023
121,1.333954,,1499.302283
122,1.370749,,1459.056344
122,1.360625,,1469.913226
122,1.379212,,1450.103432
123,1.903944,,1050.451266
123,1.912276,,1045.874317
123,1.994573,,1002.720996
124,1.570112,,1273.794769
124,1.588145,,1259.330636
124,1.629657,,1227.251866
125,1.537073,,1301.174154
125,1.571691,,1272.515073
125,1.474871,,1356.050816
126,1.279625,,1562.957579
126,1.289700,,1550.747735
126,1.323566,,1511.069850
127,1.348678,,1482.933411
127,1.363360,,1466.964034
127,1.351064,,1480.314597
128,1.271668,,1572.738008
128,1.342081,,1490.223539
128,1.354226,,1476.858181
