Size np Time Threads
15000 1 2.171672 64
15000 1 2.188777 64
15000 1 2.148378 64
15000 1 2.599475 64
15000 1 2.152607 64
15000 2 1.103266 64
15000 2 1.087704 64
15000 2 1.123904 64
15000 2 1.128326 64
15000 2 1.122926 64
15000 3 6.310423 64
15000 3 5.518026 64
15000 3 5.750130 64
15000 3 6.411009 64
15000 3 5.696054 64
15000 4 3.273250 64
15000 4 3.116611 64
15000 4 3.995951 64
15000 4 3.256323 64
15000 4 3.189816 64
15000 5 4.260801 64
15000 5 4.840941 64
15000 5 4.039402 64
15000 5 4.465640 64
15000 5 4.200488 64
15000 6 5.338578 64
15000 6 5.118622 64
15000 6 5.117091 64
15000 6 5.232177 64
15000 6 4.950529 64
