Size np Time Threads
5000 1 5.685380 1
5000 1 5.700342 1
5000 1 5.729745 1
5000 1 5.756211 1
5000 1 5.736359 1
7050.00 2 5.870896 1
7050.00 2 5.879178 1
7050.00 2 5.958054 1
7050.00 2 5.886732 1
7050.00 2 5.882860 1
8650.00 3 6.137552 1
8650.00 3 6.190500 1
8650.00 3 6.218464 1
8650.00 3 6.210292 1
8650.00 3 6.167084 1
10000.00 4 6.272930 1
10000.00 4 6.253694 1
10000.00 4 6.293480 1
10000.00 4 6.319900 1
10000.00 4 6.286662 1
11150.00 5 6.468617 1
11150.00 5 6.354389 1
11150.00 5 6.425485 1
11150.00 5 6.331131 1
11150.00 5 6.403193 1
12200.00 6 6.611070 1
12200.00 6 6.622906 1
12200.00 6 6.686110 1
12200.00 6 6.655388 1
12200.00 6 6.641750 1
